sec;sdate;NAV BK DB
IXISR;2020-07-13;328,1773
IXISR;2020-07-14;329,5311
IXISR;2020-07-15;328,7623
IXISR;2020-07-16;330,1113
IXISR;2020-07-17;327,1915
IXISR;2020-07-20;325,1787
IXISR;2020-07-21;330,886
IXISR;2020-07-22;331,0392
IXISR;2020-07-23;333,5501
IXISR;2020-07-24;328,2704
IXISR;2020-07-27;332,3759
IXISR;2020-07-28;333,5948
IXISR;2020-07-29;331,2109
IXISR;2020-07-30;335,4497
IXISR;2020-08-03;324,3852
IXISR;2020-08-04;329,0694
IXISR;2020-08-05;333,5528
IXISR;2020-08-06;336,7685
IXISR;2020-08-07;335,1585
IXISR;2020-08-10;333,8432
IXISR;2020-08-11;336,801
IXISR;2020-08-12;343,3049
IXISR;2020-08-13;344,2704
IXISR;2020-08-14;345,7281
IXISR;2020-08-18;349,5758
IXISR;2020-08-19;348,1521
IXISR;2020-08-24;348,7314
IXISR;2020-08-25;355,0232
IXISR;2020-08-26;354,6326
IXISR;2020-08-27;357,6105
IXISR;2020-08-28;355,0304
IXISR;2020-08-31;344,0505
IXISR;2020-09-01;352,3536
IXISR;2020-09-02;352,3294
IXISR;2020-09-03;350,1988
IXISR;2020-09-04;346,8084
IXISR;2020-09-07;344,8247
IXISR;2020-09-08;345,7422
IXISR;2020-09-09;337,2085
IXISR;2020-09-10;317,1956
IXISR;2020-09-11;325,9566
IXISR;2020-09-14;335,7686
IXISR;2020-09-15;329,1328
IXISR;2020-09-16;324,4864
IXISR;2020-09-17;323,0318
IXISR;2020-09-18;322,3572
IXISR;2020-09-21;318,2386
IXISR;2020-09-22;312,189
IXISR;2020-09-23;311,4499
IXISR;2020-09-24;306,2519
IXISR;2020-09-25;315,4002
IXISR;2020-09-28;310,142
IXISR;2020-09-29;307,6625
IXISR;2020-09-30;305,1609
IXISR;2020-10-01;314,5407
IXISR;2020-10-02;310,6329
IXISR;2020-10-05;312,662
IXISR;2020-10-06;317,2847
IXISR;2020-10-07;317,3939
IXISR;2020-10-08;319,4628
IXISR;2020-10-09;320,1857
IXISR;2020-10-12;322,4216
IXISR;2020-10-13;324,8175
IXISR;2020-10-14;329,175
IXISR;2020-10-15;323,3024
IXISR;2020-10-16;322,9348
IXISR;2020-10-19;326,4352
IXISR;2020-10-20;324,8995
IXISR;2020-10-21;324,5208
IXISR;2020-10-22;324,7902
IXISR;2020-10-23;325,1769
IXISR;2020-10-26;327,5623
IXISR;2020-10-27;326,0135
IXISR;2020-11-02;325,156
IXISR;2020-11-03;328,3235
