sec;sdate;NAV BK DB
IXIIT;2023-08-10;570,0196
IXIIT;2023-08-11;568,5297
IXIIT;2023-08-14;570,9946
IXIIT;2023-08-15;569,0618
IXIIT;2023-08-16;567,7464
IXIIT;2023-08-18;563,2284
IXIIT;2023-08-21;561,9194
IXIIT;2023-08-22;567,6624
IXIIT;2023-08-23;565,5889
IXIIT;2023-08-24;563,5404
IXIIT;2023-08-25;563,6955
IXIIT;2023-08-28;564,5676
IXIIT;2023-08-29;567,8692
IXIIT;2023-08-30;568,3779
IXIIT;2023-08-31;567,5713
IXIIT;2023-09-01;570,8719
IXIIT;2023-09-04;572,8933
IXIIT;2023-09-05;572,5745
IXIIT;2023-09-06;572,0751
IXIIT;2023-09-07;566,86
IXIIT;2023-09-08;562,3672
IXIIT;2023-09-11;565,2192
IXIIT;2023-09-12;562,4417
IXIIT;2023-09-13;562,6115
IXIIT;2023-09-14;563,0669
IXIIT;2023-09-15;565,8776
IXIIT;2023-09-18;562,6635
IXIIT;2023-09-19;568,0743
IXIIT;2023-09-20;571,2059
IXIIT;2023-09-21;568,3089
IXIIT;2023-09-22;569,4812
IXIIT;2023-09-25;566,5704
IXIIT;2023-09-26;560,6617
IXIIT;2023-09-27;561,7213
IXIIT;2023-09-29;561,3642
IXIIT;2023-10-02;563,7096
IXIIT;2023-10-03;563,0404
IXIIT;2023-10-04;559,0811
IXIIT;2023-10-05;555,0436
IXIIT;2023-10-06;556,073
IXIIT;2023-10-09;555,4625
IXIIT;2023-10-10;556,6622
IXIIT;2023-10-11;556,0508
IXIIT;2023-10-12;555,5572
IXIIT;2023-10-13;553,8419
IXIIT;2023-10-16;551,5858
IXIIT;2023-10-17;549,7943
IXIIT;2023-10-18;545,3117
IXIIT;2023-10-19;536,2615
IXIIT;2023-10-20;537,4666
IXIIT;2023-10-23;529,0909
IXIIT;2023-10-24;535,1439
IXIIT;2023-10-25;537,4963
IXIIT;2023-10-26;523,4389
IXIIT;2023-10-27;524,9392
IXIIT;2023-10-30;523,5144
IXIIT;2023-10-31;524,3825
IXIIT;2023-11-01;518,0058
IXIIT;2023-11-02;529,5851
